miRna,target,lp_label,confidence,mor
20040,3997,1,Medium,
20040,3998,1,Medium,
20040,2415,1,Medium,
20040,3999,1,Medium,
20040,4000,1,Medium,
20040,4001,1,Medium,
20040,4002,1,Medium,
20040,4003,1,Medium,
20040,2413,1,Medium,
20040,4004,1,Medium,
20040,4005,1,Medium,
20040,4006,1,Medium,
20040,3647,1,Medium,
20040,4007,1,Medium,
20040,4008,1,Medium,
20040,4009,1,Medium,
20040,4010,1,Medium,
20040,3451,1,Medium,
20040,4011,1,Medium,
20040,4012,1,Medium,
20040,4013,1,Medium,
20040,4014,1,Medium,
20040,4015,1,Medium,
20040,4016,1,Medium,
20040,4017,1,Medium,
20040,2403,1,Medium,
20040,4018,1,Medium,
20040,4019,1,Medium,
20040,4020,1,Medium,
20040,4021,1,Medium,
20040,4022,1,Medium,
20040,4023,1,Medium,
20040,4024,1,Medium,
20040,2399,1,Medium,
20040,4025,1,Medium,
20040,4026,1,Medium,
20040,1893,1,Medium,
20040,4027,1,Medium,
20040,4028,1,Medium,
20040,4029,1,Medium,
20040,4030,1,Medium,
20040,4031,1,Medium,
20040,2387,1,Medium,
20040,4032,1,Medium,
20040,4033,1,Medium,
20040,2377,1,Medium,
20040,4034,1,Medium,
20040,3213,1,Medium,
20040,4035,1,Medium,
20040,4036,1,Medium,
20040,4037,1,Medium,
20040,4038,1,Medium,
20040,4039,1,Medium,
20040,4040,1,Medium,
20040,4041,1,Medium,
20040,4042,1,Medium,
20040,4043,1,Medium,
20040,4044,1,Medium,
20040,4045,1,Medium,
20040,4046,1,Medium,
20040,4047,1,Medium,
20040,4048,1,Medium,
20040,4049,1,Medium,
20040,4050,1,Medium,
20040,4051,1,Medium,
20040,4052,1,Medium,
20040,4053,1,Medium,
20040,4054,1,Medium,
20040,4055,1,Medium,
20040,4056,1,Medium,
20040,4057,1,Medium,
20040,4058,1,Medium,
20040,1992,1,Medium,
20040,4059,1,Medium,
20040,4060,1,Medium,
20040,4061,1,Medium,
