TF,TF,lp_label,confidence,mor
96,634,1,High,Unknown
96,107,1,High,Activation
96,83,1,High,Activation
96,97,1,High,Activation
96,35,1,High,Unknown
96,53,1,High,Unknown
96,34,1,High,Unknown
96,411,1,High,Unknown
97,34,1,High,Repression
97,176,1,High,Unknown
97,175,1,High,Unknown
97,174,1,High,Unknown
97,152,1,High,Activation
97,155,1,High,Activation
97,182,1,High,Unknown
97,177,1,High,Unknown
97,181,1,High,Unknown
97,178,1,High,Unknown
97,180,1,High,Unknown
97,179,1,High,Unknown
97,367,1,High,Unknown
97,865,1,High,Activation
97,307,1,Medium,Unknown
97,773,1,Medium,Unknown
97,283,1,Medium,Unknown
97,1044,1,Medium,Unknown
97,654,1,Medium,Unknown
97,936,1,Medium,Unknown
97,933,1,Medium,Unknown
97,409,1,Medium,Unknown
97,880,1,Medium,Unknown
97,343,1,Medium,Unknown
97,99,1,High,Activation
97,858,1,High,Activation
97,370,1,High,Activation
97,360,1,High,Unknown
97,313,1,High,Activation
97,259,1,High,Activation
97,538,1,Medium,Unknown
97,153,1,High,Activation
97,88,1,High,Unknown
97,35,1,High,Activation
97,921,1,High,Activation
101,255,1,High,Activation
104,1,1,High,Unknown
104,2,1,High,Unknown
104,274,1,High,Unknown
104,3,1,High,Unknown
105,3,1,High,Unknown
105,2,1,High,Unknown
105,1,1,High,Unknown
107,1267,1,Medium,Unknown
108,482,1,Medium,Unknown
108,459,1,Medium,Unknown
112,390,1,High,Unknown
112,345,1,High,Unknown
112,26,1,High,Unknown
112,114,1,High,Unknown
112,928,1,High,Activation
112,101,1,High,Activation
112,112,1,High,Unknown
112,113,1,High,Activation
112,25,1,High,Activation
112,24,1,High,Unknown
113,112,1,High,Activation
113,113,1,High,Unknown
113,114,1,High,Unknown
113,390,1,High,Unknown
113,345,1,High,Unknown
113,26,1,High,Unknown
113,101,1,High,Activation
113,499,1,High,Activation
113,24,1,High,Unknown
113,25,1,High,Unknown
114,25,1,High,Activation
114,101,1,High,Activation
114,112,1,High,Unknown
114,114,1,High,Unknown
114,113,1,High,Activation
114,26,1,High,Unknown
114,24,1,High,Unknown
114,345,1,High,Unknown
114,390,1,High,Unknown
116,334,1,High,Unknown
117,287,1,High,Unknown
117,191,1,High,Unknown
117,302,1,High,Unknown
117,291,1,High,Unknown
117,290,1,High,Unknown
118,290,1,High,Unknown
118,191,1,High,Unknown
118,287,1,High,Unknown
118,291,1,High,Unknown
118,302,1,High,Unknown
120,208,1,High,Unknown
121,255,1,High,Unknown
122,380,1,High,Activation
122,370,1,High,Activation
122,360,1,High,Unknown
122,349,1,High,Unknown
122,53,1,High,Unknown
122,348,1,High,Unknown
122,81,1,High,Unknown
122,8,1,High,Unknown
122,9,1,High,Unknown
122,299,1,High,Activation
122,927,1,High,Activation
122,708,1,High,Activation
122,240,1,High,Activation
122,252,1,High,Unknown
122,582,1,High,Activation
122,416,1,High,Activation
122,482,1,High,Activation
122,85,1,High,Unknown
122,35,1,High,Activation
122,34,1,High,Repression
125,126,1,High,Activation
125,565,1,High,Unknown
125,495,1,High,Unknown
126,1267,1,Medium,Unknown
126,700,1,Medium,Unknown
126,405,1,Medium,Unknown
127,157,1,High,Activation
128,955,1,High,Activation
130,370,1,High,Activation
133,720,1,High,Unknown
134,351,1,High,Repression
134,354,1,High,Unknown
134,6,1,High,Unknown
135,720,1,High,Activation
136,693,1,High,Activation
136,720,1,High,Activation
137,199,1,High,Activation
143,146,1,High,Activation
145,146,1,High,Activation
146,146,1,High,Activation
147,295,1,High,Unknown
150,293,1,High,Unknown
150,294,1,High,Unknown
150,2,1,High,Unknown
150,1,1,High,Unknown
150,367,1,High,Unknown
150,3,1,High,Unknown
150,221,1,High,Unknown
150,220,1,High,Unknown
150,219,1,High,Unknown
150,222,1,High,Unknown
150,846,1,High,Unknown
151,219,1,High,Unknown
151,160,1,High,Unknown
151,294,1,High,Unknown
151,293,1,High,Unknown
151,2,1,High,Unknown
151,1,1,High,Unknown
151,3,1,High,Unknown
151,157,1,High,Unknown
151,222,1,High,Unknown
151,221,1,High,Unknown
151,220,1,High,Unknown
151,846,1,High,Unknown
156,77,1,High,Activation
157,148,1,High,Activation
157,1057,1,High,Unknown
157,151,1,High,Unknown
158,367,1,High,Activation
158,152,1,High,Unknown
158,846,1,High,Unknown
158,155,1,High,Unknown
160,148,1,High,Activation
160,151,1,High,Unknown
160,846,1,High,Unknown
161,339,1,High,Unknown
161,338,1,High,Unknown
161,341,1,High,Unknown
161,340,1,High,Unknown
161,343,1,High,Unknown
161,342,1,High,Unknown
161,344,1,High,Unknown
163,294,1,High,Activation
163,99,1,High,Activation
163,14,1,High,Activation
163,44,1,High,Unknown
163,97,1,High,Activation
163,148,1,High,Activation
163,115,1,High,Unknown
163,130,1,High,Unknown
163,153,1,High,Repression
163,152,1,High,Activation
163,34,1,High,Activation
163,367,1,High,Activation
163,859,1,High,Unknown
163,370,1,High,Repression
163,360,1,High,Activation
163,315,1,High,Unknown
163,304,1,High,Activation
163,743,1,High,Unknown
163,220,1,High,Activation
163,271,1,High,Activation
163,259,1,High,Repression
163,692,1,High,Unknown
163,235,1,High,Unknown
163,199,1,High,Repression
163,644,1,High,Unknown
163,175,1,High,Unknown
163,737,1,High,Unknown
163,196,1,High,Activation
163,163,1,High,Activation
163,85,1,High,Unknown
163,333,1,High,Activation
163,338,1,High,Unknown
163,313,1,High,Unknown
163,89,1,High,Activation
163,73,1,High,Unknown
163,1018,1,Medium,Unknown
163,1038,1,Medium,Unknown
163,672,1,Medium,Unknown
163,462,1,Medium,Unknown
163,650,1,High,Activation
163,52,1,Medium,Unknown
163,933,1,Medium,Unknown
163,32,1,Medium,Unknown
163,1267,1,Medium,Unknown
163,897,1,Medium,Unknown
163,1044,1,Medium,Unknown
163,538,1,Medium,Unknown
163,1205,1,Medium,Unknown
163,1162,1,Medium,Unknown
163,343,1,Medium,Unknown
163,773,1,Medium,Unknown
163,1002,1,Medium,Unknown
163,176,1,High,Unknown
163,174,1,High,Unknown
163,155,1,High,Activation
163,177,1,High,Unknown
163,178,1,High,Unknown
163,181,1,High,Activation
163,180,1,High,Unknown
163,179,1,High,Unknown
163,182,1,High,Unknown
163,35,1,High,Repression
163,88,1,High,Activation
163,396,1,High,Unknown
163,921,1,High,Activation
165,175,1,High,Unknown
165,181,1,High,Unknown
165,182,1,High,Unknown
166,272,1,High,Unknown
166,34,1,High,Unknown
166,199,1,High,Unknown
167,290,1,High,Unknown
167,291,1,High,Unknown
170,199,1,High,Activation
170,34,1,High,Activation
170,81,1,High,Unknown
170,59,1,High,Activation
170,350,1,High,Activation
170,163,1,High,Unknown
170,170,1,High,Unknown
170,571,1,High,Unknown
170,910,1,High,Unknown
170,272,1,High,Unknown
170,99,1,High,Unknown
170,353,1,High,Unknown
170,57,1,High,Unknown
170,53,1,High,Unknown
170,313,1,High,Unknown
170,305,1,High,Unknown
170,166,1,High,Unknown
170,326,1,High,Unknown
170,194,1,High,Activation
171,255,1,High,Unknown
172,291,1,High,Unknown
172,290,1,High,Unknown
173,290,1,High,Unknown
173,291,1,High,Unknown
174,34,1,High,Unknown
180,34,1,High,Unknown
183,311,1,Medium,Unknown
183,1574,1,Medium,Unknown
183,1314,1,Medium,Unknown
183,860,1,Medium,Unknown
183,462,1,Medium,Unknown
183,582,1,Medium,Unknown
183,138,1,Medium,Unknown
183,130,1,Medium,Unknown
183,530,1,Medium,Unknown
183,34,1,High,Activation
183,312,1,High,Activation
183,176,1,High,Unknown
