miRna,TF,lp_label,confidence,mor
20044,1560,1,Medium,
20044,1337,1,Medium,
20044,1322,1,Medium,
20044,1414,1,Medium,
20044,901,1,Medium,
20044,986,1,Medium,
20044,981,1,Medium,
20044,533,1,Medium,
20044,35,1,Medium,
20044,434,1,Medium,
20044,1646,1,Medium,
20044,517,1,Medium,
20044,94,1,Medium,
20044,1073,1,Medium,
20044,650,1,Medium,
20044,652,1,Medium,
20044,945,1,Medium,
20044,71,1,Medium,
20044,67,1,Medium,
20044,70,1,Medium,
20044,75,1,Medium,
20044,479,1,Medium,
20044,1021,1,Medium,
20044,725,1,Medium,
20044,200,1,Medium,
20044,1025,1,Medium,
20044,1028,1,Medium,
20044,658,1,Medium,
20044,196,1,Medium,
20044,669,1,Medium,
20044,678,1,Medium,
20044,675,1,Medium,
20044,245,1,Medium,
20044,236,1,Medium,
20044,718,1,Medium,
20044,252,1,Medium,
20044,1054,1,Medium,
20044,263,1,Medium,
20044,731,1,Medium,
20044,741,1,Medium,
20044,274,1,Medium,
20044,266,1,Medium,
20044,750,1,Medium,
20044,1070,1,Medium,
20044,512,1,Medium,
20044,967,1,Medium,
20044,11,1,Medium,
20044,912,1,Medium,
20044,401,1,Medium,
20044,409,1,Medium,
20044,929,1,Medium,
20044,415,1,Medium,
20044,24,1,Medium,
20044,930,1,Medium,
20044,425,1,Medium,
20044,426,1,Medium,
20044,34,1,Medium,
20044,1083,1,Medium,
20044,124,1,Medium,
20044,561,1,Medium,
20044,192,1,Medium,
20044,287,1,Medium,
20044,290,1,Medium,
20044,137,1,Medium,
20044,127,1,Medium,
20044,132,1,Medium,
20044,301,1,Medium,
20044,574,1,Medium,
20044,141,1,Medium,
20044,1001,1,Medium,
20044,153,1,Medium,
20044,155,1,Medium,
20044,619,1,Medium,
20044,621,1,Medium,
20044,627,1,Medium,
20044,633,1,Medium,
20045,124,1,Medium,
20045,127,1,Medium,
20045,1070,1,Medium,
20045,301,1,Medium,
20045,1073,1,Medium,
20045,815,1,Medium,
20045,561,1,Medium,
20045,287,1,Medium,
20045,930,1,Medium,
20045,912,1,Medium,
20045,401,1,Medium,
20045,11,1,Medium,
20045,419,1,Medium,
20045,929,1,Medium,
20045,409,1,Medium,
20045,426,1,Medium,
20045,34,1,Medium,
20045,35,1,Medium,
20045,434,1,Medium,
20045,945,1,Medium,
20045,94,1,Medium,
20045,75,1,Medium,
20045,67,1,Medium,
20045,71,1,Medium,
20045,70,1,Medium,
20045,479,1,Medium,
20045,967,1,Medium,
20045,512,1,Medium,
20045,517,1,Medium,
