:ID,name,:LABEL
466,E4F1,TF
467,EAF1,TF
468,EAPP,TF
469,EBF1,TF
470,EBF3,TF
471,ECD,TF
472,EED,TF
473,EGF,TF
474,EHF,TF
475,EHMT2,TF
476,ELF1,TF
477,ELF2,TF
478,ELF3,TF
479,ELF4,TF
480,ELL,TF
481,EN1,TF
482,ENO1,TF
483,EOMES,TF
484,ERCC2,TF
485,ERF,TF
486,ESRRA,TF
487,ESRRB,TF
488,ETV1,TF
489,ETV3,TF
490,EVX1,TF
491,EWSR1,TF
492,FHL2,TF
493,FIGLA,TF
494,FOSL2,TF
495,FOXA3,TF
496,FOXC1,TF
497,FOXC2,TF
498,FOXD3,TF
499,FOXE1,TF
500,FOXF1,TF
501,FOXF2,TF
502,FOXG1,TF
503,FOXH1,TF
504,FOXI1,TF
505,FOXK2,TF
506,FOXL1,TF
507,FOXL2,TF
508,FOXN1,TF
509,FOXN4,TF
510,FOXO4,TF
511,FOXP1,TF
512,FOXP2,TF
513,FOXQ1,TF
514,FUBP1,TF
515,FUBP3,TF
516,FUS,TF
517,GABPA,TF
518,GABPB1,TF
519,GABPB2,TF
520,GATA5,TF
521,GATA6,TF
522,GBX2,TF
523,GCM1,TF
524,GCM2,TF
525,GFI1,TF
526,GFI1B,TF
527,GLIS3,TF
528,GRHL1,TF
529,GSC,TF
530,GTF2A1,TF
531,GTF2B,TF
532,GTF2F1,TF
533,GTF2I,TF
534,GTF3A,TF
535,GZF1,TF
536,HAND2,TF
537,HAX1,TF
538,HBP1,TF
539,HCFC1,TF
540,HDAC10,TF
541,HDAC11,TF
542,HDAC3,TF
543,HDAC5,TF
544,HDAC7,TF
545,HDAC9,TF
546,HDGF,TF
547,HES6,TF
548,HEXIM1,TF
549,HEY1,TF
550,HEY2,TF
551,HEYL,TF
552,HIC1,TF
553,HIF3A,TF
554,HINFP,TF
555,HIPK2,TF
556,HIRA,TF
557,HIVEP2,TF
558,HLTF,TF
559,HLX,TF
560,HMG20B,TF
561,HMGA2,TF
562,HMGB2,TF
563,HMGN1,TF
564,HNF1B,TF
565,HNF4G,TF
566,HNRNPD,TF
567,HNRNPR,TF
568,HOPX,TF
569,HOXA11,TF
570,HOXC10,TF
571,HOXC13,TF
572,HOXC6,TF
573,HOXC9,TF
574,HOXD1,TF
575,HOXD13,TF
576,HR,TF
577,HSF1,TF
578,HSF2,TF
579,HSF4,TF
580,HTATIP2,TF
581,ID1,TF
582,ID2,TF
583,ID3,TF
584,ID4,TF
585,IFI16,TF
586,IKZF1,TF
587,ILF2,TF
588,ILF3,TF
589,ING1,TF
590,ING2,TF
591,ING4,TF
592,IRF2,TF
593,IRF4,TF
594,IRF8,TF
595,ISL1,TF
596,JARID2,TF
597,JDP2,TF
598,KAT5,TF
599,KAT6A,TF
600,KCNIP3,TF
601,KDM4B,TF
602,KDM4C,TF
603,KHDRBS1,TF
604,KHSRP,TF
605,KLF1,TF
606,KLF10,TF
607,KLF11,TF
608,KLF12,TF
609,KLF13,TF
610,KLF14,TF
611,KLF15,TF
612,KLF16,TF
613,KLF3,TF
614,KLF4,TF
615,KLF5,TF
616,KLF6,TF
617,KLF7,TF
618,KLF8,TF
619,KLF9,TF
620,L3MBTL1,TF
621,LCOR,TF
622,LDB1,TF
623,LHX2,TF
624,LHX3,TF
625,LHX4,TF
626,LIMD1,TF
627,LIN28A,TF
628,LMO2,TF
629,LMO3,TF
630,LMO4,TF
631,LMX1B,TF
632,LRF,TF
633,LRRFIP1,TF
634,LYL1,TF
635,MAF,TF
636,MAFB,TF
637,MAFF,TF
638,MAFG,TF
639,MAFK,TF
640,MAL,TF
641,MAZ,TF
642,MBD1,TF
643,MBD2,TF
644,MDM2,TF
645,MED1,TF
646,MED15,TF
647,MED23,TF
648,MEF2A,TF
649,MEF2B,TF
650,MEF2D,TF
651,MEIS1,TF
652,MEIS2,TF
653,MEN1,TF
